epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,341.972,0.40617,0.34165,0.84269,0.99994,1,0.995,0.92677,0.39131,0.29507,0.85618,0.0014456,0.0014456,0.0014456
44,349.803,0.40025,0.32837,0.8352,0.99568,0.99832,0.995,0.94414,0.36852,0.28323,0.85013,0.0014324,0.0014324,0.0014324
45,357.699,0.39449,0.33288,0.85035,1,0.99946,0.995,0.93688,0.38673,0.29264,0.85233,0.0014192,0.0014192,0.0014192
46,365.584,0.40435,0.33177,0.84048,0.99087,0.99134,0.9943,0.92493,0.39579,0.31686,0.83753,0.001406,0.001406,0.001406
47,373.496,0.38761,0.31823,0.85325,1,0.99948,0.995,0.94701,0.3668,0.28318,0.83707,0.0013928,0.0013928,0.0013928
48,381.396,0.38368,0.32947,0.8398,0.99569,0.99969,0.995,0.937,0.38497,0.28823,0.85268,0.0013796,0.0013796,0.0013796
49,389.217,0.37979,0.31989,0.83326,0.99484,0.99567,0.99496,0.93828,0.37892,0.2868,0.85201,0.0013664,0.0013664,0.0013664
50,397.012,0.37458,0.31732,0.8291,0.99482,1,0.995,0.92692,0.3624,0.28032,0.85415,0.0013532,0.0013532,0.0013532
51,404.844,0.3793,0.31858,0.83326,1,0.99936,0.995,0.94472,0.36798,0.2708,0.84387,0.00134,0.00134,0.00134
52,412.905,0.37921,0.30662,0.82944,0.99979,1,0.995,0.94681,0.37204,0.27577,0.84426,0.0013268,0.0013268,0.0013268
53,420.823,0.37927,0.31871,0.84261,0.99967,0.99134,0.995,0.94216,0.34446,0.27266,0.83058,0.0013136,0.0013136,0.0013136
54,428.658,0.36012,0.30622,0.83157,0.99506,0.99567,0.995,0.95938,0.34691,0.27421,0.84907,0.0013004,0.0013004,0.0013004
55,436.536,0.37225,0.30263,0.83245,0.99793,0.99567,0.995,0.94895,0.34975,0.26893,0.83821,0.0012872,0.0012872,0.0012872
56,444.355,0.38754,0.30653,0.84077,0.99866,0.99567,0.995,0.9461,0.38992,0.28112,0.85923,0.001274,0.001274,0.001274
57,452.267,0.37907,0.30311,0.84405,1,0.99524,0.995,0.95131,0.35507,0.27539,0.84441,0.0012608,0.0012608,0.0012608
58,460.17,0.35741,0.30154,0.84041,0.99843,0.99567,0.995,0.9473,0.33414,0.26622,0.83161,0.0012476,0.0012476,0.0012476
59,468.056,0.35824,0.30048,0.83135,0.99566,0.99269,0.995,0.94977,0.34399,0.26525,0.84294,0.0012344,0.0012344,0.0012344
60,475.847,0.37214,0.30038,0.84322,0.99568,0.99883,0.995,0.95549,0.33824,0.26325,0.83534,0.0012212,0.0012212,0.0012212
61,483.741,0.35671,0.29916,0.82302,0.99971,0.99567,0.995,0.95665,0.33651,0.25632,0.83157,0.001208,0.001208,0.001208
62,491.594,0.3497,0.28717,0.82719,0.99141,0.99945,0.9943,0.95683,0.34646,0.26771,0.84225,0.0011948,0.0011948,0.0011948
63,499.533,0.34262,0.28693,0.83102,0.99561,1,0.995,0.95107,0.33766,0.24671,0.83801,0.0011816,0.0011816,0.0011816
64,507.399,0.35675,0.28769,0.8283,0.99949,0.99134,0.995,0.94735,0.34203,0.26097,0.83349,0.0011684,0.0011684,0.0011684
65,515.233,0.36819,0.29462,0.83735,0.99965,0.99567,0.995,0.94772,0.34039,0.25864,0.83143,0.0011552,0.0011552,0.0011552
66,522.983,0.35017,0.29081,0.8291,0.9997,0.99567,0.995,0.95713,0.33005,0.25484,0.83096,0.001142,0.001142,0.001142
67,531.099,0.35383,0.28295,0.83612,0.99975,0.99567,0.995,0.95528,0.33386,0.24769,0.83606,0.0011288,0.0011288,0.0011288
68,538.992,0.33672,0.27846,0.82554,1,0.99977,0.995,0.95384,0.35121,0.25099,0.84396,0.0011156,0.0011156,0.0011156
69,546.872,0.33486,0.27867,0.82201,0.99943,0.99567,0.995,0.94103,0.34223,0.26455,0.83884,0.0011024,0.0011024,0.0011024
70,554.667,0.34038,0.27888,0.82848,0.99975,0.99567,0.995,0.95491,0.33127,0.24904,0.83646,0.0010892,0.0010892,0.0010892
71,562.525,0.33785,0.28084,0.82985,0.99926,0.99567,0.995,0.95659,0.33445,0.24802,0.83393,0.001076,0.001076,0.001076
72,570.507,0.34133,0.28018,0.82983,0.99568,0.99775,0.995,0.9616,0.32031,0.24106,0.83312,0.0010628,0.0010628,0.0010628
73,578.44,0.35781,0.28715,0.83487,0.9989,1,0.995,0.95674,0.32879,0.23823,0.83546,0.0010496,0.0010496,0.0010496
74,586.275,0.34671,0.28111,0.82819,1,0.99999,0.995,0.96318,0.32405,0.24454,0.83679,0.0010364,0.0010364,0.0010364
75,594.123,0.33535,0.27043,0.82967,0.99539,1,0.995,0.95713,0.32143,0.2385,0.83351,0.0010232,0.0010232,0.0010232
76,602.005,0.34165,0.27801,0.82714,0.99973,1,0.995,0.95983,0.32246,0.22584,0.83698,0.00101,0.00101,0.00101
77,609.932,0.33093,0.27293,0.81828,0.99387,1,0.99392,0.95344,0.31909,0.23887,0.83134,0.0009968,0.0009968,0.0009968
78,617.784,0.33045,0.26672,0.82302,0.99547,1,0.995,0.96068,0.31493,0.23225,0.82861,0.0009836,0.0009836,0.0009836
79,625.66,0.32723,0.26236,0.83378,0.99959,1,0.995,0.96085,0.31533,0.23568,0.83458,0.0009704,0.0009704,0.0009704
80,633.485,0.31631,0.26441,0.82157,0.99975,0.99567,0.995,0.96173,0.31678,0.23706,0.82878,0.0009572,0.0009572,0.0009572
81,641.33,0.32462,0.25796,0.81924,0.99967,1,0.995,0.95941,0.3222,0.23485,0.83722,0.000944,0.000944,0.000944
82,649.188,0.32738,0.26651,0.82524,0.99991,1,0.995,0.96609,0.31419,0.23012,0.84053,0.0009308,0.0009308,0.0009308
83,657.317,0.32204,0.26224,0.82323,0.99849,0.99567,0.995,0.96876,0.33059,0.24071,0.83746,0.0009176,0.0009176,0.0009176
84,665.266,0.32727,0.26722,0.82479,0.99548,1,0.995,0.96415,0.31166,0.22758,0.83066,0.0009044,0.0009044,0.0009044
85,673.124,0.33849,0.26982,0.8238,0.99936,1,0.995,0.96308,0.32256,0.22403,0.83081,0.0008912,0.0008912,0.0008912
86,680.886,0.31867,0.2545,0.81935,1,0.99976,0.995,0.96304,0.32072,0.22576,0.8306,0.000878,0.000878,0.000878
87,688.853,0.32254,0.2568,0.82431,0.99976,1,0.995,0.95912,0.3239,0.23392,0.83946,0.0008648,0.0008648,0.0008648
