epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.49492,0.65393,2.03702,0.93301,1,0.24334,0.58327,0.46634,0.59904,2.75032,0.85372,0.000653595,0.000653595,0.000653595
2,17.8746,0.64633,1.20939,0.90324,0.92837,0.91775,0.95093,0.73915,0.74311,1.38432,0.94065,0.00131155,0.00131155,0.00131155
3,26.5419,0.66298,1.0345,0.934,0.98654,0.95216,0.98809,0.8009,0.68509,0.83148,0.94924,0.0019607,0.0019607,0.0019607
4,34.4283,0.66378,0.84698,0.93951,0.97261,0.96104,0.98835,0.83437,0.63793,0.75168,0.9326,0.0019604,0.0019604,0.0019604
5,41.8586,0.66457,0.76319,0.93674,0.96016,0.93893,0.97556,0.83267,0.62511,0.69944,0.92357,0.0019472,0.0019472,0.0019472
6,49.2746,0.60704,0.62934,0.91646,0.97395,0.97105,0.99004,0.84922,0.56872,0.50721,0.91768,0.001934,0.001934,0.001934
7,56.6509,0.57782,0.57753,0.91097,0.98658,0.95498,0.99249,0.85329,0.57386,0.50401,0.91631,0.0019208,0.0019208,0.0019208
8,64.02,0.57746,0.54619,0.90719,0.98877,0.99134,0.99465,0.86471,0.54988,0.49751,0.8967,0.0019076,0.0019076,0.0019076
9,71.4024,0.54177,0.51769,0.88982,0.99135,0.9926,0.99491,0.85886,0.55552,0.47105,0.90555,0.0018944,0.0018944,0.0018944
10,78.787,0.55799,0.50627,0.90506,0.99568,0.998,0.99496,0.88286,0.51323,0.40159,0.89066,0.0018812,0.0018812,0.0018812
11,86.1847,0.52687,0.47469,0.88977,0.98277,0.9879,0.99435,0.88534,0.48496,0.41331,0.8852,0.001868,0.001868,0.001868
12,93.5828,0.51136,0.46121,0.88639,0.97425,0.98277,0.99347,0.88877,0.48661,0.3922,0.87721,0.0018548,0.0018548,0.0018548
13,100.99,0.50304,0.45098,0.87642,0.99568,0.99865,0.99491,0.89472,0.45656,0.37111,0.86134,0.0018416,0.0018416,0.0018416
14,108.446,0.51183,0.44688,0.8778,0.99107,0.96104,0.98926,0.8746,0.50668,0.44081,0.88029,0.0018284,0.0018284,0.0018284
