epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,442.937,0.36602,0.30167,0.84716,0.99474,0.99134,0.99487,0.92193,0.42563,0.29399,0.89735,0.0014456,0.0014456,0.0014456
44,453.169,0.38525,0.29958,0.84424,0.99568,0.99841,0.995,0.94613,0.34248,0.29141,0.85261,0.0014324,0.0014324,0.0014324
45,463.34,0.36316,0.29528,0.84514,1,0.99905,0.995,0.95326,0.35129,0.25112,0.84739,0.0014192,0.0014192,0.0014192
46,473.533,0.36035,0.28278,0.83708,0.99906,1,0.995,0.9433,0.34744,0.25578,0.84116,0.001406,0.001406,0.001406
47,483.725,0.35542,0.28471,0.847,0.99569,0.99917,0.995,0.94679,0.3418,0.24532,0.84548,0.0013928,0.0013928,0.0013928
48,493.958,0.35174,0.2814,0.83773,1,0.99962,0.995,0.94764,0.3412,0.24943,0.82909,0.0013796,0.0013796,0.0013796
49,504.154,0.3522,0.2826,0.83724,0.99526,0.98701,0.99487,0.94158,0.34565,0.25349,0.83758,0.0013664,0.0013664,0.0013664
50,514.333,0.35469,0.29259,0.82784,0.99976,1,0.995,0.95834,0.33559,0.24433,0.8461,0.0013532,0.0013532,0.0013532
51,524.532,0.34937,0.29203,0.8392,0.99965,0.99567,0.995,0.94833,0.34008,0.24238,0.84133,0.00134,0.00134,0.00134
52,534.748,0.35119,0.28181,0.832,0.99987,1,0.995,0.95694,0.34216,0.24758,0.84994,0.0013268,0.0013268,0.0013268
53,545.085,0.35886,0.30088,0.84297,1,0.99938,0.995,0.95289,0.31808,0.23622,0.83906,0.0013136,0.0013136,0.0013136
54,555.26,0.33003,0.2756,0.83224,0.99559,1,0.995,0.95813,0.32245,0.2444,0.8435,0.0013004,0.0013004,0.0013004
55,565.452,0.33092,0.27128,0.82725,0.99962,1,0.995,0.95736,0.32316,0.2358,0.82798,0.0012872,0.0012872,0.0012872
56,575.63,0.34151,0.27092,0.82837,0.9997,1,0.995,0.95837,0.32866,0.24367,0.83185,0.001274,0.001274,0.001274
57,585.924,0.34518,0.27338,0.83691,0.9952,1,0.99478,0.95957,0.3259,0.23995,0.8394,0.0012608,0.0012608,0.0012608
58,596.165,0.33228,0.26074,0.84235,0.99542,1,0.99496,0.96224,0.3125,0.23063,0.82897,0.0012476,0.0012476,0.0012476
59,606.418,0.335,0.26101,0.83116,0.99389,1,0.995,0.96319,0.3239,0.23141,0.8327,0.0012344,0.0012344,0.0012344
60,616.568,0.33608,0.26554,0.83396,0.99568,0.9973,0.995,0.96176,0.31728,0.2318,0.83024,0.0012212,0.0012212,0.0012212
61,626.774,0.31816,0.25878,0.82025,0.99993,1,0.995,0.9627,0.31744,0.22486,0.83987,0.001208,0.001208,0.001208
62,636.953,0.33054,0.266,0.82898,0.99569,0.99982,0.995,0.953,0.33259,0.23716,0.83875,0.0011948,0.0011948,0.0011948
63,647.138,0.32408,0.26557,0.83002,0.99875,0.99567,0.995,0.96241,0.32327,0.23448,0.83633,0.0011816,0.0011816,0.0011816
64,657.371,0.3319,0.26785,0.82407,0.99973,1,0.995,0.96078,0.33447,0.23558,0.84356,0.0011684,0.0011684,0.0011684
65,667.574,0.33506,0.25616,0.8356,0.99828,1,0.995,0.96517,0.31636,0.22563,0.83139,0.0011552,0.0011552,0.0011552
66,677.835,0.31818,0.25404,0.82856,0.99537,1,0.995,0.95997,0.32901,0.22993,0.83724,0.001142,0.001142,0.001142
67,688.038,0.32012,0.25169,0.83349,0.99914,1,0.995,0.95997,0.30806,0.21687,0.83352,0.0011288,0.0011288,0.0011288
68,698.252,0.30718,0.2515,0.82447,0.99974,1,0.995,0.9682,0.30215,0.20945,0.82946,0.0011156,0.0011156,0.0011156
