epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8637,0.65484,3.12283,0.95868,0.89761,0.81818,0.90201,0.71062,0.77147,2.80345,1.02134,0.000653595,0.000653595,0.000653595
2,22.3771,0.71381,0.81502,0.97236,0.60211,0.67965,0.69142,0.50791,0.97914,1.3699,1.26471,0.00131155,0.00131155,0.00131155
3,32.713,0.74754,0.71191,0.99748,0.55702,0.11688,0.14924,0.0787,1.86656,3.18953,1.72143,0.0019607,0.0019607,0.0019607
4,43.0039,0.744,0.65912,0.99861,0.74324,0.70563,0.77809,0.57996,0.88101,1.03727,1.12986,0.0019604,0.0019604,0.0019604
5,53.2939,0.70974,0.62942,0.9763,0.95649,0.94372,0.97539,0.79531,0.69161,0.59648,1.01321,0.0019472,0.0019472,0.0019472
6,63.6044,0.66269,0.57963,0.95463,0.03579,0.05195,0.00538,0.00397,2.39943,7.08306,2.30097,0.001934,0.001934,0.001934
7,74.142,0.64455,0.55258,0.9554,0.91244,0.8961,0.95116,0.74653,0.80601,0.63215,1.07086,0.0019208,0.0019208,0.0019208
8,84.4795,0.63155,0.54079,0.94272,0.89753,0.94794,0.95855,0.82328,0.63985,0.54795,0.98513,0.0019076,0.0019076,0.0019076
9,95.0215,0.58693,0.51639,0.93253,0.99074,0.97835,0.99303,0.86825,0.5731,0.4674,0.92749,0.0018944,0.0018944,0.0018944
10,105.565,0.58327,0.49666,0.93565,0.97183,0.97403,0.99353,0.85701,0.59424,0.47455,0.94128,0.0018812,0.0018812,0.0018812
11,116.017,0.56447,0.47867,0.92011,0.97848,0.9697,0.99237,0.85536,0.57803,0.44503,0.92461,0.001868,0.001868,0.001868
12,127.124,0.55327,0.46604,0.91294,0.95543,0.93939,0.97384,0.85078,0.56976,0.49942,0.97678,0.0018548,0.0018548,0.0018548
